n0,viol_mean,viol_std,worst_mean,worst_std,stretch_mean,stretch_std,medstretch_mean,medstretch_std
1,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,81.04864218964049,6.289030177793341,75.11221949481197,4.127092538774012
3,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,75.26326080372796,3.508390064516745,64.90157656740259,7.909139199635453
5,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,63.50329433959843,4.635625241105261,53.90354079093671,2.8709452774282225
7,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,37.93363207892326,9.557800709625623,11.6085590974045,6.276396406275961
9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,28.757950423448616,7.732801385092304,7.223436685372001,6.427900230808065
11,2.3333333333333335,1.247219128924647,0.1128613679876787,0.009778237564251498,13.89388754565301,5.7941864625126875,2.0395244578790046,0.07240521968488929
13,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,9.598013194424013,5.416639569433681,1.9514216382076432,0.10162486837865789
15,2.6666666666666665,1.699673171197595,0.12198333647710814,0.009638633045092238,4.384933168181052,1.7562654515493188,1.8601447651334062,0.07524382454047467
17,2.6666666666666665,1.699673171197595,0.12198333647710814,0.009638633045092238,3.0449785547832597,1.5037396695004561,1.8601447651334062,0.07524382454047467
19,2.6666666666666665,1.699673171197595,0.12480248350256207,0.009236621143211289,1.9894591240537267,0.08889807778540598,1.8302335030091212,0.08448773191415396
21,3.6666666666666665,3.091206165165235,0.12480248350256207,0.009236621143211289,1.954787672649034,0.09991655089665143,1.8084188897895617,0.0666587083038755
25,4.333333333333333,4.0276819911981905,0.13110530496653758,0.013686856112246223,1.9085610811459457,0.10556991386088542,1.7388092545463814,0.0792502115025539
30,4.666666666666667,3.7712361663282534,0.13404547951341772,0.009855335695387758,1.8538487318644077,0.0868394099491527,1.7367502342446361,0.08158435266458716
40,5.666666666666667,3.8586123009300755,0.14054514613571442,0.014112210903979724,1.781198658823998,0.09326508363991937,1.6352682250492057,0.06959304301115948
50,5.333333333333333,3.39934634239519,0.1434236322303413,0.010463558961458121,1.7402435099280806,0.08326834498853268,1.632028561649915,0.07099060100674008
