name,marginal,worst,violations,K,stretch
B3 Naive Pooled,0.09655921762952438,0.1681401530901591,8,20,1.5217131364655323
B2 Per-site Local,0.06301982194567338,0.08214330580085516,0,20,98.40409722356368
Shrinkage n0=5,0.06505094630978046,0.08214330580085516,0,20,79.01712635820603
Shrinkage n0=10,0.0667966519219753,0.10081892212231953,1,20,54.04683618113891
Shrinkage n0=15,0.0683587891742205,0.10081892212231953,1,20,8.549557887171657
Shrinkage n0=20,0.07074531072225326,0.10081892212231953,1,20,2.4262650103916243
Shrinkage n0=30,0.07074531072225326,0.10081892212231953,1,20,2.4262650103916243
Shrinkage n0=50,0.07074531072225326,0.10081892212231953,1,20,2.4262650103916243
Shrinkage n0=75,0.06273423784818405,0.10081892212231953,1,20,2.436584434951918
Shrinkage n0=100,0.06273423784818405,0.10081892212231953,1,20,2.436584434951918
Shrinkage n0=200,0.0636430310133176,0.10081892212231953,1,20,2.397311821216158
Weighted Shared,0.0,0.0,0,20,138.43134144308732
James-Stein,0.06301982194567338,0.08214330580085516,0,20,98.40409722356368
