site,n_total,n_cal,n_test,b3_fnr,b3_stretch,b3_lambda,shrink_fnr,shrink_stretch,shrink_lambda
0,74,37,37,0.14057552492296374,1.6170463562011719,0.95,0.06972547640671602,3.219497804706161,0.99
1,84,42,42,0.07824661476271492,1.5429839009330386,0.95,0.07824661476271492,1.5429839009330386,0.95
2,50,25,25,0.0755519962310791,1.1184924125671387,0.95,0.028311927318573,1.41972843170166,0.99
3,17,8,9,0.12255915668275622,1.3735962245199416,0.95,0.07224448521931966,2.1927004390292697,0.99
4,44,22,22,0.10004768859256398,1.7378877022049644,0.95,0.045704427090558136,3.040459535338662,0.99
5,78,39,39,0.1411667939944145,1.7133988348337321,0.95,0.07048511657959376,3.337585042684506,0.99
6,79,39,40,0.0784074455499649,1.2211356073617936,0.95,0.0784074455499649,1.2211356073617936,0.95
7,58,29,29,0.061637672884710906,1.1880911095389004,0.95,0.061637672884710906,1.1880911095389004,0.95
